id;name;phone;address;status;balance
1;panel;253-024-6404;monitor portal Avon;false;12727
2;enable;1-216-345-8831 x10756;Coordinator ubiquitous Metal;true;24106
3;Lead Palau Table;609-128-9741 x647;e-enable sky blue;false;91654
4;compress initiatives Nauru;1-000-931-7938;Savings Account distributed Kip;false;3469
5;Borders synthesize;165-525-6634 x50556;redundant challenge;false;82796
6;leverage system;502-310-1696;generate Steel sky blue;true;24610
7;indexing;1-551-057-6451 x3541;Niger;false;57987
8;Oval;576.055.0390;Associate Engineer Mouse;false;97060
9;RAM Games Creative;591.667.4007 x2595;Stravenue;true;65374
10;lavender collaborative;1-796-597-7570 x170;Quetzal;false;23745
